question,optionA,optionB,optionC,optionD,language,category,language2
下列哪一個是區域、可用區域、邊緣站點之間正確的關係?,(A) 資料中心包含區域,(B) 區域包含可用區域。,(C) 可用區域包含邊緣位置。,(D) 邊緣位置包含區域。,cht,CLF,cht
"如果你想要在帳單金額超過特定的門檻時收到警報,需要使用何種AWS服務?",(A) Trusted Advisor,(B) Cloudwatch,(C) AWS Organizations,(D) AWS Budget,cht,CLF,cht
"你正在建置線上的儲存平台,做為備份用途,用戶會將他們的文件上傳至你的應用程式。但你不確定每次上傳的容量大小,下列哪一項AWS服務可以幫助你解決這個問題?",(A) Elastic Block Store,(B) S3,(C) CloudWatch,(D) 將所有內容存放在CloudFront 快取內。,cht,CLF,cht
"下列哪一個保留機定價模式,允許更改保留機的類型,以求換到相同價值甚至更好的保留機機型?",(A) 專用保留實例。,(B) 排程保留實例。,(C) 可轉換式保留實例。,(D) 標準保留實例。,cht,CLF,cht
"要長期歸檔儲存,應該使用哪種AWS儲存方案?",(A) S3不常存取版,(B) S3 標準版,(C) Glacier,(D) S3 低冗余版,cht,CLF,cht
"下列哪一個儲存方案,能夠讓資料庫備份能夠即時被存取,且為最低成本與穩定的方案?",(A) Amazon S3,(B) Amazon Glacier,(C) Amazon EBS,(D) Amazon EC2 實例儲存區,cht,CLF,cht
"AWS的合規文件(例如: SOC 1 報告)位於何處,在哪可以找到?",(A) Amazon Inspector,(B) AWS CloudTrail,(C) AWS Artifact,(D) AWS Certificate Manager,cht,CLF,cht
"Medium公司開始研究要如何將整個本地端的資料中心遷移至AWS上,但他們非常關切在AWS上運行整個IT基礎設施時,所需要的成本,你會推薦他們使用下列哪種工具,以便他們估算AWS的使用成本?",(A) AWS Cost Explorer,(B) AWS TCO Calculator,(C) AWS Estimate Calculator,(D) AWS Migration Cost Calculator,cht,CLF,cht
"關於AWS,下列哪一個描述最為適合?",(A) AWS 是那個雲。,(B) AWS 是雲服務提供商。,(C) AWS 是線上零售商。,(D) 以上皆非。,cht,CLF,cht
邊緣站點的特徵為何?,(A) 託管在靠近用戶的EC2實例,(B) 為用戶達到低延遲與增進效能,"(C) 緩存經常改變的資料,而不需跟原始資料點取用資料。",(D) 每日更新資料。,cht,CLF,cht
下列哪一項服務可以提供近乎無限的容量而且又是高度耐用的物件儲存?,(A) Amazon Redshift,(B) Amazon Elastic File System (Amazon EFS),(C) Amazon Elastic Container Service (Amazon ECS),(D) Amazon S3,cht,CLF,cht
"下列哪一項安全性服務,是可以免費使用的?",(A) 調用AWS支援服務,(B) 聯絡AWS專業服務以索取訓練工作坊。,(C) 存取論壇、部落格與白皮書。,(D) 去當地的大學上AWS相關課程。,cht,CLF,cht
下列哪一個是AWS雲端多個區域的最佳範例?,(A) 敏捷,(B) 全球性架構,(C) 彈性,"(D) 用多少,付多少",cht,CLF,cht
下列哪個AWS功能可以減少客戶的總成本(TCO)?,(A) 共享安全責任,(B) 單體設備,(C) 彈性計算,(D) 加密,cht,CLF,cht
"下列哪一項服務,對於儲存物件時,可以提供即時存取、版本控制及生命週期的功能?",(A) Amazon Glacier,(B) AWS Storage Gateway,(C) Amazon S3,(D) Amazon EBS,cht,CLF,cht
"如果你正在使用隨需的EC2執行個體,你要如何為這個使用行為做付費?","(A) 你必須購置一份一年或三年的合約,且一次付清。","(B) 基於以小時計算的費率,按秒計費,另外不會收取刪除費用。","(C) 基於以小時計算的費率,按秒計費,另外會收取刪除費用。","(D) 你會按照小時計費,並且付部分費用。",cht,CLF,cht
"下列哪項AWS IAM功能,可以使開發人員透過AWS CLI存取AWS的服務?",(A) API 金鑰,(B) 存取金鑰,(C) 用戶帳號密碼,(D) SSH 金鑰,cht,CLF,cht
"你所在組織的技術長(CTO),希望可以快速查看在AWS上有關安全性的漏洞、成本及效能方面,下列哪個AWS服務可以為你提供幫助?",(A) CloudWatch,(B) CloudTrail,(C) Trusted Advisor,(D) Security Groups,cht,CLF,cht
"應該在多少個可用區域中分配運算資源,才足以實現高可用性?",(A) 最少一個,(B) 最少兩個,(C) 最少三個,(D) 最少四個或更多,cht,CLF,cht
"在AWS的共同責任模型下,下列哪一項是客戶的責任?",(A) 確保磁碟驅動在使用後被清除。,(B) 確保在硬件設備上更新固件。,(C) 確保靜態數據已加密。,(D) 確保網線為六類或更高類別。,cht,CLF,cht
"下列哪一項服務,可以幫助你做物件緩存?",(A) CloudTrail,(B) EC2,(C) CloudFront,(D) AWS Lambda,cht,CLF,cht
下列哪一項是亞馬遜關聯式資料庫(Amazon RDS)的優勢?,(A) 簡化了關連式資料庫的管理任務。,(B) 提供了99.99999999999% 可靠與耐久性。,(C) 自動擴展資料庫的負載。,(D) 讓用戶可以動態調整CPU與記憶體資源。,cht,CLF,cht
"下列哪個方法對於轉檔大量的單個影音檔案,是最符合AWS的架構原則?",(A) 平行使用多台實例。,"(B) 在低谷時間段,使用一台大型實例。",(C) 使用專用的硬體。,(D) 使用大型GPU實例類型。,cht,CLF,cht
SNS支援下列哪一項端點服務?,(A) 簡訊服務,(B) 檔案傳輸協定,(C) 簡易儲存服務,(D) 來電通知,cht,CLF,cht
"根據AWS的共同責任模型,AWS的客戶應該要負起什麼責任?",(A) 物理存取控制,(B) 資料加密,(C) 安全的儲存設備處理辦法,(D) 環境風險管理,cht,CLF,cht
"下列哪一種亞馬遜EC2執行個體定價模式,允許客戶使用已存在的伺服器綁定版的軟體授權?",(A) 競標實例,(B) 保留實例,(C) 專用主機,(D) 隨需實例,cht,CLF,cht
"在AWS的共同責任模型中,下列哪一項是客戶自己要負責的?",(A) (A) 為基礎設施進行更新,(B) 物理安全,(C) 更新Amazon EC2實例,(D) 更新網絡基礎設施,cht,CLF,cht
